SEASON_ID,PTS,REB,AST,Player_Name,MIN
22020,5,1,0,Ryan Arcidiacono,15
22020,10,3,4,Ryan Arcidiacono,18
22020,2,2,2,Ryan Arcidiacono,7
22020,0,2,0,Ryan Arcidiacono,8
22020,0,0,0,Ryan Arcidiacono,6
22020,0,3,2,Ryan Arcidiacono,13
22020,9,2,2,Ryan Arcidiacono,17
22020,4,4,5,Ryan Arcidiacono,17
22020,5,3,2,Ryan Arcidiacono,8
22020,5,3,2,Ryan Arcidiacono,20
22020,11,5,1,Trevor Ariza,30
22020,10,5,4,Trevor Ariza,34
22020,4,7,2,Trevor Ariza,30
22020,19,4,1,Trevor Ariza,36
22020,6,8,1,Trevor Ariza,31
22020,18,4,1,Trevor Ariza,26
